bdv,inscrits,Nuls,ALLIANCE ECOLOGISTE INDEPENDANTE,CHANGER LA DONNE,LISTE D UNITE ET DE RESISTANCE CONTRE LA POLITIQUE DU GOUVERNEMENT ET DE L U.E SOUTENUE PAR LE POI,LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,"MARSEILLE A GAUCHE, L HUMAIN D ABORD DANS NOTRE VILLE",MARSEILLE A VIVRE,MARSEILLE BLEU MARINE,MARSEILLE EN AVANT AVEC JEAN-CLAUDE GAUDIN,MARSEILLE ENSEMBLE,MARSEILLE J Y CROIS,MARSEILLE POPULAIRE,MARSEILLE UNIE,UN NOUVEAU CAP POUR LES MARSEILLAIS AVEC PATRICK MENNUCCI,UNE QUALITE DE VIE POUR TOUS,UNION POUR MARSEILLE,Total Résultat
1374,1373,20,,40,,6,58,,292,274,,,,6,152,,,828
1375,1366,39,,24,,8,28,,324,246,,,,3,159,,,792
1376,874,12,,23,,2,23,,191,141,,,,0,160,,,540
1377,815,5,,20,,3,15,,64,71,,,,11,146,,,330
1378,727,15,,16,,1,13,,190,170,,,,0,79,,,469
1401,936,17,,23,,4,39,,195,119,,,,7,58,,,445
1402,1088,16,,38,,5,55,,186,120,,,,13,66,,,483
1404,1470,14,,79,,5,30,,143,117,,,,16,130,,,520
1405,1362,19,,56,,5,44,,133,91,,,,32,163,,,524
1407,1363,16,,62,,8,43,,177,108,,,,12,151,,,561
1408,645,8,,20,,3,31,,137,74,,,,2,60,,,327
1409,772,15,,31,,5,14,,98,89,,,,9,62,,,308
1410,956,10,,37,,2,68,,134,84,,,,6,109,,,440
1411,468,7,,17,,3,24,,87,62,,,,5,38,,,236
1414,1209,9,,50,,3,57,,203,101,,,,11,64,,,489
1415,1103,10,,27,,2,50,,215,118,,,,12,67,,,491
1416,912,19,,26,,6,24,,113,110,,,,11,68,,,358
1417,1024,15,,48,,3,34,,86,63,,,,13,77,,,324
1450,1232,16,,100,,4,37,,39,71,,,,41,123,,,415
1451,1397,17,,47,,2,40,,233,203,,,,5,109,,,639
1452,690,13,,26,,4,7,,12,85,,,,15,161,,,310
1453,1168,10,,80,,3,46,,35,80,,,,46,105,,,395
1454,927,21,,63,,5,45,,58,53,,,,26,68,,,318
1455,756,8,,38,,2,29,,36,39,,,,13,63,,,220
1456,941,12,,53,,5,19,,138,156,,,,6,79,,,456
1457,775,10,,31,,3,25,,161,81,,,,4,52,,,357
1458,1362,25,,62,,10,47,,296,177,,,,10,121,,,723
1459,1415,20,,58,,7,58,,284,204,,,,3,158,,,772
