bdv,inscrits,Nuls,ALLIANCE ECOLOGISTE INDEPENDANTE,CHANGER LA DONNE,LISTE D UNITE ET DE RESISTANCE CONTRE LA POLITIQUE DU GOUVERNEMENT ET DE L U.E SOUTENUE PAR LE POI,LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,"MARSEILLE A GAUCHE, L HUMAIN D ABORD DANS NOTRE VILLE",MARSEILLE A VIVRE,MARSEILLE BLEU MARINE,MARSEILLE EN AVANT AVEC JEAN-CLAUDE GAUDIN,MARSEILLE ENSEMBLE,MARSEILLE J Y CROIS,MARSEILLE POPULAIRE,MARSEILLE UNIE,UN NOUVEAU CAP POUR LES MARSEILLAIS AVEC PATRICK MENNUCCI,UNE QUALITE DE VIE POUR TOUS,UNION POUR MARSEILLE,Total Résultat
1581,993,5,,23,2,0,19,,38,91,,,,3,92,,8,276
1582,1381,13,,35,4,1,33,,232,116,,,,6,158,,4,589
1583,779,12,,22,3,1,34,,165,89,,,,4,90,,1,409
1584,779,21,,27,1,6,64,,157,105,,,,5,86,,0,451
1585,1362,12,,22,1,4,41,,101,107,,,,3,206,,7,492
1586,1085,17,,23,0,7,27,,43,68,,,,6,204,,6,384
1587,1551,16,,38,2,0,49,,67,117,,,,11,240,,12,536
1588,1111,10,,39,2,2,23,,35,83,,,,3,223,,3,413
1601,1090,17,,24,1,2,63,,158,92,,,,3,146,,1,490
1602,861,14,,17,2,7,40,,113,120,,,,5,146,,2,452
1606,784,11,,16,4,9,43,,95,73,,,,2,115,,3,360
1607,674,13,,26,0,2,75,,120,66,,,,0,98,,2,389
1608,1378,15,,28,3,8,60,,236,146,,,,4,162,,1,648
1609,808,17,,20,3,1,59,,111,71,,,,1,130,,1,397
1610,866,11,,34,4,7,88,,114,106,,,,1,133,,0,487
1611,969,19,,41,3,1,95,,102,131,,,,3,152,,3,531
1612,942,16,,35,3,11,128,,138,106,,,,7,132,,0,560
1613,694,15,,15,1,4,87,,73,52,,,,1,127,,2,362
1614,775,15,,21,1,4,92,,93,67,,,,1,136,,0,415
